character	value_extended	raw_value	window_freq
嬉	0.244501	0.010321	54
论	0.244431	0.010317	1057
出	0.244029	0.010292	5364
攒	0.243696	0.010272	192
遑	0.243513	0.010260	76
蹑	0.243100	0.010235	127
銮	0.242827	0.010218	152
乏	0.242763	0.010214	123
凯	0.242449	0.010195	69
螭	0.242350	0.010189	86
羹	0.242063	0.010171	84
俎	0.241793	0.010155	111
奠	0.241628	0.010145	144
公	0.241617	0.010144	2878
喻	0.241508	0.010137	91
鬣	0.241435	0.010133	59
敕	0.240853	0.010097	74
突	0.240732	0.010090	144
添	0.240351	0.010066	585
农	0.240193	0.010057	355
步	0.239962	0.010043	1373
瓶	0.239834	0.010035	276
道	0.239693	0.010026	5578
蓝	0.239603	0.010020	157
凤	0.239403	0.010008	2016
皎	0.239204	0.009996	257
郑	0.239074	0.009988	185
苗	0.239071	0.009988	248
麒	0.238765	0.009969	98
侯	0.238540	0.009955	1107
习	0.238475	0.009951	208
胆	0.238473	0.009951	165
蒲	0.238330	0.009942	447
浓	0.237901	0.009916	507
诺	0.237789	0.009909	75
班	0.237611	0.009898	292
待	0.237597	0.009897	1654
初	0.237582	0.009896	3185
楫	0.237446	0.009888	222
成	0.237335	0.009881	4499
津	0.237032	0.009863	713
轩	0.236785	0.009848	1103
仕	0.236571	0.009834	93
晋	0.236085	0.009805	306
溯	0.235917	0.009794	60
岳	0.235900	0.009793	862
邮	0.234757	0.009723	64
煌	0.234735	0.009722	90
弱	0.234660	0.009717	327
车	0.234619	0.009715	1958
菜	0.234043	0.009679	88
张	0.233250	0.009631	830
特	0.232977	0.009614	155
褭	0.232879	0.009608	63
暂	0.232628	0.009592	1047
七	0.232574	0.009589	814
凌	0.232530	0.009586	752
麾	0.231899	0.009548	126
载	0.231602	0.009529	991
包	0.231269	0.009509	84
源	0.231255	0.009508	613
蕙	0.231181	0.009504	303
翘	0.230806	0.009481	133
缥	0.230736	0.009476	122
鄙	0.230690	0.009474	113
旌	0.230628	0.009470	880
潭	0.230582	0.009467	645
净	0.230372	0.009454	639
驹	0.229940	0.009427	73
即	0.229867	0.009423	1116
主	0.229807	0.009419	1721
兼	0.229482	0.009399	826
飖	0.229467	0.009398	139
盈	0.229225	0.009384	634
瞥	0.228420	0.009334	53
占	0.228384	0.009332	358
蜜	0.228074	0.009313	59
讲	0.227981	0.009307	186
萦	0.227565	0.009282	375
博	0.227402	0.009272	157
辅	0.226977	0.009246	99
苒	0.226898	0.009241	52
倩	0.226855	0.009238	68
旭	0.226809	0.009235	103
携	0.226559	0.009220	934
掷	0.226515	0.009217	258
茶	0.225939	0.009182	386
鳞	0.225930	0.009181	501
费	0.225605	0.009161	152
飏	0.225594	0.009161	96
拍	0.224876	0.009117	113
旋	0.224448	0.009090	559
彤	0.224058	0.009066	117
贡	0.223891	0.009056	153
凫	0.223453	0.009029	212
霸	0.223451	0.009029	162
王	0.223431	0.009028	3099
胎	0.223329	0.009022	87
翩	0.223276	0.009019	250
酝	0.223017	0.009003	69
样	0.222629	0.008979	109
素	0.222563	0.008975	1155
熟	0.222533	0.008973	480
莺	0.222447	0.008968	998
管	0.222091	0.008946	901
卉	0.221985	0.008939	71
掉	0.221778	0.008927	100
纲	0.221774	0.008926	86
娃	0.221713	0.008923	107
百	0.221705	0.008922	2957
勋	0.221610	0.008916	234
霄	0.221573	0.008914	703
调	0.221517	0.008911	767
卮	0.220940	0.008875	116
